id,query,intent_json
320,what are good romance films on SonyLIV,"{""genre"": ""Romance"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated""}"
321,pushpa review,"{""title"": ""Pushpa"", ""query_type"": ""rating/review""}"
322,movies starring vicky kaushal,"{""actor"": ""Vicky Kaushal""}"
323,best binge worthy,"{""content_type"": ""Web Series"", ""recency"": ""latest"", ""rating_type"": ""top rated"", ""query_type"": ""rating/review""}"
324,feel good wali movie,"{""mood"": ""feel good"", ""rating_type"": ""top rated""}"
325,family historical movies 2023,"{""genre"": ""Historical"", ""year"": 2023, ""audience"": ""family""}"
326,top 10 supernatural movies ever made,"{""genre"": ""Supernatural"", ""rating_type"": ""top rated""}"
327,best vidya balan movies,"{""actor"": ""Vidya Balan"", ""rating_type"": ""top rated""}"
328,rajamouli ki film,"{""director"": ""SS Rajamouli""}"
329,movies like drishyam,"{""similar_to"": ""Drishyam""}"
330,what are good supernatural films on SonyLIV,"{""genre"": ""Supernatural"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated""}"
331,classic Bhojpuri movies,"{""language"": ""Bhojpuri"", ""rating_type"": ""classic""}"
332,show dekhna hai,"{""content_type"": ""Web Series""}"
333,arjun reddy wala wali gadar 2,"{""actor"": ""Vijay Deverakonda"", ""title"": ""Gadar 2""}"
334,taapsee wali gehraiyaan,"{""actor"": ""Taapsee Pannu"", ""title"": ""Gehraiyaan""}"
335,movies like bhool bhulaiyaa,"{""similar_to"": ""Bhool Bhulaiyaa""}"
336,top 10 comedy movies ever made,"{""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
337,leo ke jaise aur koi hai kya,"{""similar_to"": ""Leo""}"
338,show me Tamil movies from 2018,"{""language"": ""Tamil"", ""year"": 2018}"
339,I want to watch something action packed,"{""mood"": ""action packed""}"
340,intense wali movie,"{""mood"": ""intense""}"
341,Netflix original,"{""platform"": ""Netflix"", ""badge"": ""Original""}"
342,kashyap directed movies,"{""director"": ""Anurag Kashyap""}"
343,new releases on YouTube,"{""platform"": ""YouTube"", ""recency"": ""latest""}"
344,suspenseful wali movie,"{""mood"": ""suspenseful""}"
345,top marathi supernatural movies,"{""language"": ""Marathi"", ""genre"": ""Supernatural"", ""rating_type"": ""top rated""}"
346,ss rajamouli directed movies,"{""director"": ""SS Rajamouli""}"
347,movies with vicky kaushal,"{""actor"": ""Vicky Kaushal""}"
348,top rated Tamil horror,"{""language"": ""Tamil"", ""genre"": ""Horror"", ""rating_type"": ""top rated""}"
349,show me Telugu movies from 2025,"{""language"": ""Telugu"", ""year"": 2025}"
350,recommend a action movie,"{""genre"": ""Action""}"
351,new telugu lo horror,"{""language"": ""Telugu"", ""genre"": ""Horror"", ""recency"": ""latest""}"
352,best lalettan movies,"{""actor"": ""Mohanlal"", ""rating_type"": ""top rated""}"
353,is aadujeevitham available on Disney+ Hotstar,"{""title"": ""Aadujeevitham"", ""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability""}"
354,if you liked jalsa,"{""similar_to"": ""Jalsa""}"
355,best thriller movies of 2022,"{""genre"": ""Thriller"", ""year"": 2022, ""rating_type"": ""top rated""}"
356,top movies 2022,"{""year"": 2022, ""rating_type"": ""top rated""}"
357,what are good action films on Jio Cinema,"{""genre"": ""Action"", ""platform"": ""Jio Cinema"", ""rating_type"": ""top rated""}"
358,fahadh wali kota factory,"{""actor"": ""Fahadh Faasil"", ""title"": ""Kota Factory""}"
359,dulquer kabir singh movie,"{""actor"": ""Dulquer Salmaan"", ""title"": ""Kabir Singh""}"
360,koi acchi show batao,"{""content_type"": ""Web Series"", ""rating_type"": ""top rated""}"
361,movies by vishal bhardwaj,"{""director"": ""Vishal Bhardwaj""}"
362,garuda gamana vrishabha vahana rating,"{""title"": ""Garuda Gamana Vrishabha Vahana"", ""query_type"": ""rating/review""}"
363,award winning Bhojpuri films,"{""language"": ""Bhojpuri"", ""rating_type"": ""award winning""}"
364,award winning Telugu films,"{""language"": ""Telugu"", ""rating_type"": ""award winning""}"
365,alia bhatt new movie rrr,"{""actor"": ""Alia Bhatt"", ""title"": ""RRR"", ""recency"": ""latest""}"
366,2021 ki best film,"{""year"": 2021, ""rating_type"": ""top rated""}"
367,movies released in 2025,"{""year"": 2025}"
368,movies with mammukka,"{""actor"": ""mammootty""}"
369,watch vikram vedha,"{""title"": ""Vikram Vedha""}"
370,katrina ki best movie,"{""actor"": ""Katrina Kaif"", ""rating_type"": ""top rated""}"
371,777 charlie with fahadh,"{""actor"": ""Fahadh Faasil"", ""title"": ""777 Charlie""}"
372,OTT show dekhna hai,"{""content_type"": ""Web Series""}"
373,kannada show,"{""content_type"": ""Web Series"", ""language"": ""Kannada""}"
374,is dream girl 2 available on YouTube,"{""title"": ""Dream Girl 2"", ""platform"": ""YouTube"", ""query_type"": ""availability""}"
375,MX Player movies,"{""platform"": ""MX Player""}"
376,movies starring dulquer,"{""actor"": ""Dulquer Salmaan""}"
377,top 10 psychological thriller movies ever made,"{""genre"": ""Psychological thriller"", ""rating_type"": ""top rated""}"
378,if you liked uri,"{""similar_to"": ""Uri""}"
379,darlings OTT release,"{""title"": ""Darlings"", ""query_type"": ""availability"", ""actor"": ""Prabhas""}"
380,fahad film sacred games,"{""title"": ""Sacred Games"", ""actor"": ""Fahadh Faasil""}"
381,best malayalam movies 2021,"{""year"": 2021, ""language"": ""Malayalam"", ""rating_type"": ""top rated""}"
382,best supernatural movies of 2022,"{""genre"": ""Supernatural"", ""year"": 2022, ""rating_type"": ""top rated""}"
383,Amazon Prime web series,"{""platform"": ""Amazon Prime"", ""content_type"": ""Web Series""}"
384,classic Punjabi movies,"{""language"": ""Punjabi"", ""rating_type"": ""classic""}"
385,irrfan punjabi thriller,"{""actor"": ""Irrfan Khan"", ""genre"": ""Thriller"", ""language"": ""Punjabi""}"
386,irfan khan ki films,"{""actor"": ""Irrfan Khan""}"
387,sandalwood comedy web series,"{""language"": ""Kannada"", ""genre"": ""Comedy"", ""content_type"": ""Web Series""}"
388,if you liked kesari,"{""similar_to"": ""Kesari""}"
389,Amazon Prime kannada,"{""platform"": ""Amazon Prime"", ""language"": ""Kannada""}"
390,ranveer new film,"{""actor"": ""Ranveer Singh"", ""recency"": ""latest""}"
391,koi suspenseful movie suggest karo,"{""mood"": ""suspenseful""}"
392,movies like bramayugam,"{""similar_to"": ""Bramayugam""}"
393,best of deepika,"{""actor"": ""Deepika Padukone"", ""rating_type"": ""top rated""}"
394,vidya movies,"{""actor"": ""Vidya Balan""}"
395,new on ZEE5,"{""platform"": ""ZEE5"", ""recency"": ""latest""}"
396,kollywood movies on SonyLIV,"{""platform"": ""SonyLIV"", ""language"": ""Tamil""}"
397,recommend a drama movie,"{""genre"": ""Drama""}"
398,punjabi sci-fi,"{""language"": ""Punjabi"", ""genre"": ""Sci-Fi""}"
399,kannada sci-fi web series,"{""language"": ""Kannada"", ""genre"": ""Sci-Fi"", ""content_type"": ""Web Series""}"
400,alia bhatt ki best movie,"{""actor"": ""Alia Bhatt"", ""rating_type"": ""top rated""}"
401,kangana ke saare movies,"{""actor"": ""Kangana Ranaut""}"
402,2022 ki best film,"{""year"": 2022, ""rating_type"": ""top rated""}"
403,raees type movie,"{""similar_to"": ""Raees""}"
404,bengali biopic web series,"{""language"": ""Bengali"", ""genre"": ""Biopic"", ""content_type"": ""Web Series""}"
405,2020 movies,"{""year"": 2020}"
406,show me Gujarati movies from 2018,"{""language"": ""Gujarati"", ""year"": 2018}"
407,vikram online,"{""title"": ""Vikram""}"
408,what are good thriller films on Jio Cinema,"{""genre"": ""Thriller"", ""platform"": ""Jio Cinema"", ""rating_type"": ""top rated""}"
409,top gujarati supernatural movies,"{""language"": ""Gujarati"", ""genre"": ""Supernatural"", ""rating_type"": ""top rated""}"
410,top rated Kannada dark comedy,"{""language"": ""Kannada"", ""genre"": ""Dark comedy"", ""rating_type"": ""top rated""}"
411,movies released in 2021,"{""year"": 2021}"
412,best movies of 2018,"{""year"": 2018, ""rating_type"": ""top rated""}"
413,latest Bengali releases,"{""language"": ""Bengali"", ""recency"": ""latest""}"
414,best mystery movies of 2020,"{""genre"": ""Mystery"", ""year"": 2020, ""rating_type"": ""top rated""}"
415,arjun reddy wala roohi movie,"{""actor"": ""Vijay Deverakonda"", ""title"": ""Roohi""}"
416,movies like garuda gamana vrishabha vahana,"{""similar_to"": ""Garuda Gamana Vrishabha Vahana""}"
417,kota factory type movie,"{""similar_to"": ""Kota Factory""}"
418,is panchayat available on YouTube,"{""title"": ""Panchayat"", ""platform"": ""YouTube"", ""query_type"": ""availability""}"
419,irfan khan film aspirants,"{""actor"": ""Irrfan Khan"", ""title"": ""Aspirants""}"
420,bangla drama film,"{""language"": ""Bengali"", ""genre"": ""Drama""}"
421,animal movie,"{""title"": ""Animal""}"
422,best of vetrimaaran,"{""director"": ""Vetrimaaran"", ""rating_type"": ""top rated""}"
423,funny movie,"{""mood"": ""funny""}"
424,kantara,"{""title"": ""Kantara""}"
425,is dream girl 2 good,"{""title"": ""Dream Girl 2"", ""rating_type"": ""top rated""}"
426,kjo ki film,"{""director"": ""Karan Johar""}"
427,best ranveer singh movies,"{""actor"": ""Ranveer Singh"", ""rating_type"": ""top rated""}"
428,2020 blockbusters,"{""year"": 2020, ""rating_type"": ""blockbuster""}"
429,irfan khan wali kgf chapter 2,"{""actor"": ""Irrfan Khan"", ""title"": ""KGF Chapter 2""}"
430,what are good drama films on Jio Cinema,"{""genre"": ""Drama"", ""platform"": ""Jio Cinema"", ""rating_type"": ""top rated""}"
431,family comedy movies 2022,"{""genre"": ""Comedy"", ""year"": 2022, ""audience"": ""family""}"
432,irrfan wali movie,"{""actor"": ""Irrfan Khan""}"
433,bhojpuri movies on SonyLIV,"{""platform"": ""SonyLIV"", ""language"": ""Bhojpuri""}"
434,best movies on YouTube,"{""platform"": ""YouTube"", ""rating_type"": ""top rated""}"
435,koi scary movie suggest karo,"{""mood"": ""scary""}"
436,allu arjun movies,"{""actor"": ""Allu Arjun""}"
437,family action movies 2019,"{""genre"": ""Action"", ""year"": 2019, ""audience"": ""family""}"
438,top hindi mein horror movies,"{""language"": ""Hindi"", ""genre"": ""Horror"", ""rating_type"": ""top rated""}"
439,aamir ka dangal,"{""actor"": ""Aamir Khan"", ""title"": ""Dangal""}"
440,vicky kaushal wali movie,"{""actor"": ""Vicky Kaushal""}"
441,tamil biopic film,"{""language"": ""Tamil"", ""genre"": ""Biopic""}"
442,punjabi supernatural,"{""language"": ""Punjabi"", ""genre"": ""Supernatural""}"
443,lokesh kanagaraj movies,"{""director"": ""Lokesh Kanagaraj""}"
444,new b'wood romance,"{""genre"": ""Romance"", ""recency"": ""latest"", ""language"": ""Hindi""}"
445,dark wali movie,"{""mood"": ""dark""}"
446,bhojpuri action packed movie,"{""mood"": ""action packed"", ""language"": ""Bhojpuri""}"
447,what to watch on Jio Cinema,"{""platform"": ""Jio Cinema""}"
448,new bhojpuri comedy,"{""language"": ""Bhojpuri"", ""genre"": ""Comedy"", ""recency"": ""latest""}"
449,show me Telugu movies from 2019,"{""language"": ""Telugu"", ""year"": 2019}"
450,top 10 crime movies ever made,"{""genre"": ""Crime"", ""rating_type"": ""top rated""}"
451,punjabi 2018,"{""year"": 2018, ""language"": ""Punjabi""}"
452,vidya balan wali gehraiyaan,"{""actor"": ""Vidya Balan"", ""title"": ""Gehraiyaan""}"
453,best kannada binge worthy,"{""language"": ""Kannada"", ""rating_type"": ""top rated"", ""content_type"": ""Web Series"", ""query_type"": ""rating/review""}"
454,ZEE5 web series,"{""platform"": ""ZEE5"", ""content_type"": ""Web Series""}"
455,best family movies of 2018,"{""genre"": ""Family"", ""year"": 2018, ""rating_type"": ""top rated""}"
456,show me Punjabi movies from 2018,"{""language"": ""Punjabi"", ""year"": 2018}"
457,underrated Kannada films,"{""language"": ""Kannada"", ""rating_type"": ""underrated""}"
458,alia war movie,"{""actor"": ""Alia Bhatt"", ""title"": ""War""}"
459,show me Gujarati movies from 2022,"{""language"": ""Gujarati"", ""year"": 2022}"
460,marathi supernatural,"{""language"": ""Marathi"", ""genre"": ""Supernatural""}"
461,punjabi horror movies,"{""language"": ""Punjabi"", ""genre"": ""Horror""}"
462,telugu lo movies on SonyLIV,"{""platform"": ""SonyLIV"", ""language"": ""Telugu""}"
463,family action movies 2020,"{""genre"": ""Action"", ""year"": 2020, ""audience"": ""family""}"
464,show me Malayalam movies from 2023,"{""language"": ""Malayalam"", ""year"": 2023}"
465,family horror movies 2018,"{""genre"": ""Horror"", ""year"": 2018, ""audience"": ""family""}"
466,mammootty ke saare movies,"{""actor"": ""Mammootty""}"
467,best action movies of 2024,"{""genre"": ""Action"", ""year"": 2024, ""rating_type"": ""top rated""}"
468,Disney+ Hotstar original,"{""platform"": ""Disney+ Hotstar"", ""badge"": ""Original""}"
469,vijay ki best sci-fi film,"{""actor"": ""Vijay Deverakonda"", ""genre"": ""Sci-Fi"", ""rating_type"": ""top rated""}"
470,recommend a historical movie,"{""genre"": ""Historical""}"
471,andhadhun rating,"{""title"": ""Andhadhun"", ""query_type"": ""rating/review""}"
472,bhool bhulaiyaa review,"{""title"": ""Bhool Bhulaiyaa"", ""query_type"": ""rating/review""}"
473,greek god drama movie,"{""actor"": ""Hrithik Roshan"", ""genre"": ""Drama""}"
474,freddy review,"{""title"": ""Freddy"", ""query_type"": ""rating/review""}"
475,best sci-fi movies of 2021,"{""genre"": ""Sci-Fi"", ""year"": 2021, ""rating_type"": ""top rated""}"
476,movies like dream girl 2,"{""similar_to"": ""Dream Girl 2""}"
477,drishyam 2 review,"{""title"": ""Drishyam 2"", ""query_type"": ""rating/review""}"
478,top movies 2024,"{""year"": 2024, ""rating_type"": ""top rated""}"
479,bajrangi bhaijaan review,"{""title"": ""Bajrangi Bhaijaan"", ""query_type"": ""rating/review""}"
480,family family movies 2018,"{""genre"": ""Family"", ""year"": 2018, ""audience"": ""family""}"
481,family thriller movies 2020,"{""genre"": ""Thriller"", ""year"": 2020, ""audience"": ""family""}"
482,ranveer singh manjummel boys movie,"{""actor"": ""Ranveer Singh"", ""title"": ""Manjummel Boys""}"
483,the family man with vicky kaushal,"{""actor"": ""Vicky Kaushal"", ""title"": ""The Family Man""}"
484,what are good sports films on SonyLIV,"{""genre"": ""Sports"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated""}"
485,Disney+ Hotstar original series,"{""platform"": ""Disney+ Hotstar"", ""content_type"": ""Web Series"", ""badge"": ""Original""}"
486,12th fail with taapsee,"{""actor"": ""Taapsee Pannu"", ""title"": ""12th Fail""}"
487,movies by mani ratnam,"{""director"": ""Mani Ratnam""}"
488,is freddy available on Netflix,"{""title"": ""Freddy"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
489,latest Punjabi releases,"{""language"": ""Punjabi"", ""recency"": ""latest""}"
490,family dark comedy movies 2018,"{""genre"": ""Dark comedy"", ""year"": 2018, ""audience"": ""family""}"
491,YouTube original,"{""platform"": ""YouTube"", ""badge"": ""Original""}"
492,rajamouli all films,"{""director"": ""SS Rajamouli""}"
493,how is andhadhun,"{""title"": ""Andhadhun"", ""query_type"": ""rating/review""}"
494,kashyap all films,"{""director"": ""Anurag Kashyap""}"
495,omg 2 streaming kahan hai,"{""title"": ""OMG 2"", ""query_type"": ""availability""}"
496,family thriller movies 2022,"{""genre"": ""Thriller"", ""year"": 2022, ""audience"": ""family""}"
497,dq new film,"{""actor"": ""Dulquer Salmaan"", ""recency"": ""latest""}"
498,underrated Bengali films,"{""language"": ""Bengali"", ""rating_type"": ""underrated""}"
499,premalu jaisi movie,"{""similar_to"": ""Premalu""}"
500,alia film pathaan,"{""actor"": ""Alia Bhatt"", ""title"": ""Pathaan""}"
501,gujarati 2025,"{""year"": 2025, ""language"": ""Gujarati""}"
502,nawaz film jawan,"{""actor"": ""Nawazuddin Siddiqui"", ""title"": ""Jawan""}"
503,mujhe scary movie chahiye,"{""mood"": ""scary""}"
504,vishal bhardwaj 2025 movie,"{""director"": ""Vishal Bhardwaj"", ""year"": 2025}"
505,classic Kannada movies,"{""language"": ""Kannada"", ""rating_type"": ""classic""}"
506,best tamil mystery,"{""language"": ""Tamil"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
507,ranbir film bramayugam,"{""actor"": ""Ranbir Kapoor"", ""title"": ""Bramayugam""}"
508,mard ko dard nahi hota OTT release,"{""title"": ""Mard Ko Dard Nahi Hota"", ""query_type"": ""availability""}"
509,MX Player romance movies,"{""platform"": ""MX Player"", ""genre"": ""Romance""}"
510,uri,"{""title"": ""Uri""}"
511,hrithik ki best horror film,"{""actor"": ""Hrithik Roshan"", ""genre"": ""Horror"", ""rating_type"": ""top rated""}"
512,marathi movies on Jio Cinema,"{""platform"": ""Jio Cinema"", ""language"": ""Marathi""}"
513,movies with tiger shroff,"{""actor"": ""Tiger Shroff""}"
514,aamir sci-fi movie,"{""actor"": ""Aamir Khan"", ""genre"": ""Sci-Fi""}"
515,SonyLIV gujarati,"{""platform"": ""SonyLIV"", ""language"": ""Gujarati""}"
516,kesari kahan dekhein,"{""title"": ""Kesari"", ""query_type"": ""availability""}"
517,Jio Cinema original series,"{""platform"": ""Jio Cinema"", ""content_type"": ""Web Series"", ""badge"": ""Original""}"
518,best movies of 2023,"{""year"": 2023, ""rating_type"": ""top rated""}"
519,movies released in 2020,"{""year"": 2020}"
520,fahad all movies list,"{""actor"": ""Fahadh Faasil""}"
